metadata: history UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: history,overview: type,dates: when,dates: not before,dates: not after,dates: from,dates: to,dates: certainty,dates: calendar,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: annotator name(s),people: annotator ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: binder name(s),people: binder ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: bookseller name(s),people: bookseller ID(s),people: other name(s),people: other ID(s),former owners (person): standard name(s),former owners (person): birth,former owners (person): death,former owners (person): floruit not before,former owners (person): floruit not after,former owners (person): occupation,former owners (person): sex,former owners (person): nationality,former owners (person): lang knowledge,former owners (person): residence,former owners (person): affiliation,orgs: former owner name(s),orgs: former owner ID(s),orgs: patron name(s),orgs: patron ID(s),orgs: donor name(s),orgs: donor ID(s),orgs: other name(s),orgs: other ID(s),former owners (org): standard name(s),former owners (org): affiliation,former owners (org): latitude,former owners (org): longitude,former owners (org): settlement,former owners (org): country,places: name(s),places: ID(s),places: standard name(s),places: longitude,places: latitude,places: region,places: country
MS_Marsh_351_hist_1,manuscript_11662,,MS_Marsh_351,,manuscript,,MS_Marsh_351,"The Library of Archbishop Narcissus Marsh, d. .1713",,,,,,,,,,,,,,,,,,,,,,,"Archbishop Narcissus Marsh, d. 1713",person_22965285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_351_hist_2,manuscript_11662,,MS_Marsh_351,,manuscript,,MS_Marsh_351,The Marsh bequest entered the Bodleian Library in 1714.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Rawlinson_Or_12_hist_1,manuscript_1641,,MS_Rawlinson_Or_12,,manuscript,,MS_Rawlinson_Or_12,"The collections of Richard Rawlinson, d. 1755.",,,,,,,,,,,,,,,,,,,,,,,"Richard Rawlinson, d. 1755",person_47563478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Rawlinson_Or_12_hist_2,manuscript_1641,,MS_Rawlinson_Or_12,,manuscript,,MS_Rawlinson_Or_12,The Rawlinson bequest entered the Bodleian Library in 1756.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Whinfield_61_hist_1,manuscript_5098,,MS_Whinfield_61,,manuscript,,MS_Whinfield_61,"The collections of Sir Edward Henry Whinfield, d. 1922.",,,,,,,,,,,,,,,,,,,,,,,"Sir Edward Henry Whinfield, d. 1922",person_50589897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Whinfield_61_hist_2,manuscript_5098,,MS_Whinfield_61,,manuscript,,MS_Whinfield_61,"The Whinfield manuscripts were bequeathed to the Indian Institute, Oxford, in 1922, and later transferred to the Bodleian Library.",,,,,,,,,,,,,,,,,,,,,,,"Indian Institute, Oxford",person_f6731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_345_hist_1,manuscript_11658,,MS_Marsh_345,,manuscript,,MS_Marsh_345,"The Library of Archbishop Narcissus Marsh, d. .1713",,,,,,,,,,,,,,,,,,,,,,,"Archbishop Narcissus Marsh, d. 1713",person_22965285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_345_hist_2,manuscript_11658,,MS_Marsh_345,,manuscript,,MS_Marsh_345,The Marsh bequest entered the Bodleian Library in 1714.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Superius_35_hist_1,manuscript_23267,,MS_Selden_Superius_35,,manuscript,,MS_Selden_Superius_35,Previously owned by one Muḥammed bin Ḥüseyn aṭ-Ṭabbāḫ محمد بن حسین الطباخ,,,,,,,,,,,,,,,,,,,,,,,Muḥammed bin Ḥüseyn aṭ-Ṭabbāḫ محمد بن حسین الطباخ,person_f8520,,,,,Muḥammed bin Ḥüseyn aṭ-Ṭabbāḫ; محمد بن حسین الطباخ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Superius_35_hist_2,manuscript_23267,,MS_Selden_Superius_35,,manuscript,,MS_Selden_Superius_35,The collections of John Selden.,,,,,,,,,,,,,,,,,,,,,,,John Selden,person_51728429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_Superius_35_hist_3,manuscript_23267,,MS_Selden_Superius_35,,manuscript,,MS_Selden_Superius_35,Presented to the Bodleian Library by Selden's estate in 1659.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ouseley_11_hist_1,manuscript_4620,,MS_Ouseley_11,,manuscript,,MS_Ouseley_11,"The collections of Sir William Ouseley, d. 1842.",,,,,,,,,,,,,,,,,,,,,,,"Sir William Ouseley, d. 1842",person_18419237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ouseley_11_hist_2,manuscript_4620,,MS_Ouseley_11,,manuscript,,MS_Ouseley_11,Purchased by the Bodleian Library in 1843.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_DOrville_543_hist_1,manuscript_23138,,MS_DOrville_543,,manuscript,,MS_DOrville_543,"The collections of Jacques Philippe D'Orville, d. 1751.",,,,,,,,,,,,,,,,,,,,,,,"Jacques Philippe D'Orville, d. 1751",person_24945908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_DOrville_543_hist_2,manuscript_23138,,MS_DOrville_543,,manuscript,,MS_DOrville_543,Purchased by the Bodleian Library in 1804.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_supra_97_hist_1,manuscript_1791,,MS_Selden_supra_97,,manuscript,,MS_Selden_supra_97,The collections of John Selden.,,,,,,,,,,,,,,,,,,,,,,,John Selden,person_51728429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Selden_supra_97_hist_2,manuscript_1791,,MS_Selden_supra_97,,manuscript,,MS_Selden_supra_97,Presented to the Bodleian Library by Selden's estate in 1659.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Elliott_195_hist_1,manuscript_4287,,MS_Elliott_195,,manuscript,,MS_Elliott_195,The collections of John Bardoe Elliott.,,,,,,,,,,,,,,,,,,,,,,,John Bardoe Elliott,person_f6443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
